trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-winner70-20220214-NEARUSDT,winner70,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,NEARUSDT,0.4116702063932909,1,24,10.37,9.287,0.25,0.024108003857280617,22,0.00013666263768035921,-0.00017872110291736383,-0.026108968177434883,-0.026393302796528406,3.469446951953614e-18,-0.026256640158848047,-0.026867209493731836,1.3877787807814457e-17,-0.026730546856051477,-0.02734111619093535,-1.734723475976807e-17,-0.027519837293852715
development-winner70-20220214-XRPUSDT,winner70,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,XRPUSDT,0.0012436264146249432,2,24,0.8051,0.7763,0.25,0.31052043224444165,22,-0.00024993285651353866,-0.0004770304140112408,-0.008942988448639944,-0.009237622655570737,1.214306433183765e-17,-0.009487555512084276,-0.009728685032915185,-5.377642775528102e-17,-0.009978617889428724,-0.010219747410259633,-1.734723475976807e-17,-0.010696777824270873
development-winner70-20220214-AVAXUSDT,winner70,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,AVAXUSDT,-0.0978393095058796,3,24,77.88,77.27,0.25,0.0032100667693888037,22,-0.0003867673526157971,-0.0006147072383971192,-0.001958140729327179,-0.002256965844889547,2.5153490401663703e-17,-0.0026437331975053442,-0.002755008879044646,1.0842021724855044e-17,-0.003141776231660443,-0.0032530519131997726,1.431146867680866e-17,-0.003867759151596892
development-winner70-20220214-XMRUSDT,winner70,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,XMRUSDT,-0.1366731275781522,4,24,173.7,153.61,0.25,0.0014392630972941854,22,0.00019399405981123635,-3.7462179651862696e-05,-0.02891479562464014,-0.029197446747265376,-1.0408340855860843e-17,-0.02900345268745414,-0.029668549300518016,2.0816681711721685e-17,-0.02947455524070678,-0.03013965185377085,-2.7755575615628914e-17,-0.03017711403342271
development-winner70-20220214-KAVAUSDT,winner70,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,KAVAUSDT,-0.14775087414885513,5,24,3.2402,3.1879,0.25,0.07715573112770815,22,0.001068107422264783,0.000515832604868843,-0.004035244737979143,-0.0043328235911363755,-8.673617379884035e-18,-0.0032647161688715925,-0.004828790767545221,-3.0357660829594124e-17,-0.0037606833452804383,-0.005324757943954095,-1.0408340855860843e-17,-0.0048089253390852515
development-winner70-20220214-ETCUSDT,winner70,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,ETCUSDT,-0.16307906473150968,6,24,32.466,27.236,0.25,0.007700363457155177,22,-1.2300157859075688e-05,-0.0002725262342068803,-0.040272900880921586,-0.040548737140393004,2.0816681711721685e-17,-0.04056103729825208,-0.04100848840325261,1.3877787807814457e-17,-0.04102078856111168,-0.04146823966611224,0.0,-0.04174076590031912
development-winner70-20220214-AAVEUSDT,winner70,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,AAVEUSDT,-0.1750796053661846,7,24,158.02,137.4,0.25,0.0015820782179470953,22,-0.00015167516629020363,-0.0003505886535367268,-0.03262245285406912,-0.03290287938235664,2.0816681711721685e-17,-0.03305455454864684,-0.033370276502974305,2.0816681711721685e-17,-0.033521951669264506,-0.03383767362359191,2.0816681711721685e-17,-0.034188262277128637
development-winner70-20220214-HBARUSDT,winner70,2022-02-14T00:00:00+0000,2022-02-21T00:00:00+0000,2022-02-13T00:00:00+0000,HBARUSDT,-0.1762608252674478,8,24,0.22642,0.21469,0.25,1.104142743573889,22,-0.000180851697570886,-0.0005607499661416835,-0.012951594382121734,-0.013243823425492462,3.469446951953614e-18,-0.013424675123063348,-0.013730879602066981,-4.336808689942018e-17,-0.013911731299637867,-0.0142179357786415,1.734723475976807e-18,-0.014778685744783183
development-winner70-20220221-SNXUSDT,winner70,2022-02-21T00:00:00+0000,2022-02-28T00:00:00+0000,2022-02-20T00:00:00+0000,SNXUSDT,-0.26485507246376805,8,24,4.056,3.738,0.25,0.0616370808678501,21,0.0005343309425006719,0.0001030761763122442,-0.019600591715976334,-0.01988883136094674,1.0408340855860843e-17,-0.01935450041844607,-0.020369242529585774,-1.734723475976807e-17,-0.019834911587085103,-0.020849653698224835,3.469446951953614e-18,-0.02074657752191259
development-winner70-20220228-NEARUSDT,winner70,2022-02-28T00:00:00+0000,2022-03-07T00:00:00+0000,2022-02-27T00:00:00+0000,NEARUSDT,-0.05748425999822637,1,25,8.502,10.085,0.25,0.029404845918607384,20,-0.0002861675982378205,-0.0006053332114398347,0.04654787108915548,0.04621994236650201,6.938893903907228e-18,0.04593377476826419,0.04567342242413558,3.469446951953614e-17,0.04538725482589776,0.04512690248176898,-6.938893903907228e-18,0.044521569270329145
