plan_id,stage,entry_time,exit_time,decision_time,target_volatility,realized_volatility_60d,weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,funding_rate_sum,favorable_vbt_price_cost_return,favorable_manual_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_vbt_price_cost_return,base_manual_price_cost_return,base_reconciliation_error,base_net_return,stress_vbt_price_cost_return,stress_manual_price_cost_return,stress_reconciliation_error,stress_net_return
development-202101-0.08,development,2021-01-01T00:00:00Z,2021-02-01T00:00:00Z,2020-12-31T00:00:00Z,0.08,1.0009142368039448,0.07992692786092331,0.02676,0.03158,2.986805973876058,93,-0.001834419302750889,-0.0029667346424061118,0.01919935,0.014291854637773035,0.014291854637773035,0.0,0.012457435335022147,0.014117613015099978,0.014117613015099981,-3.469446951953614e-18,0.012283193712349089,0.013943371392426934,0.013943371392426927,6.938893903907228e-18,0.010976636750020823
development-202102-0.08,development,2021-02-01T00:00:00Z,2021-03-01T00:00:00Z,2021-01-31T00:00:00Z,0.08,1.0126188579351125,0.07900307146474879,0.03158,0.04555,2.5016805403656996,85,-0.008869654922354349,-0.014073465695222054,0.07547185000000001,0.034832704376861784,0.03483270437686179,-6.938893903907228e-18,0.025963049454507434,0.034639770725869684,0.03463977072586969,-6.938893903907228e-18,0.025770115803515334,0.03444683707487757,0.03444683707487756,6.938893903907228e-18,0.020373371379655517
development-202103-0.08,development,2021-03-01T00:00:00Z,2021-04-01T00:00:00Z,2021-02-28T00:00:00Z,0.08,1.2931967281241885,0.06186220414897108,0.04555,0.09327,1.3581164467392115,92,-0.001070447480711927,-0.0017061991452641504,0.012538720000000003,0.06469619660331338,0.06469619660331337,1.3877787807814457e-17,0.06362574912260145,0.06450770176376713,0.06450770176376713,0.0,0.0634372542830552,0.06431920692422091,0.06431920692422093,-1.3877787807814457e-17,0.06261300777895676
development-202104-0.08,development,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-03-31T00:00:00Z,0.08,1.4667893763461304,0.05454089134411739,0.09327,0.13246,0.5847634967740687,90,-0.006307674564514131,-0.009504649810491829,0.08395509999999998,0.022837682240099674,0.022837682240099657,1.734723475976807e-17,0.016530007675585545,0.022705697326101705,0.022705697326101715,-1.0408340855860843e-17,0.016398022761587576,0.022573712412103764,0.022573712412103764,0.0,0.013069062601611935
development-202105-0.08,development,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-04-30T00:00:00Z,0.08,1.5969073114556298,0.05009683368978852,0.13246,0.07672,0.37820348550346156,93,-0.0010397263418625608,-0.0021269682477913984,0.011189070000000004,-0.021128529845021518,-0.021128529845021515,-3.469446951953614e-18,-0.02216825618688408,-0.021207655098756488,-0.021207655098756488,0.0,-0.02224738144061905,-0.02128678035249148,-0.021286780352491486,6.938893903907228e-18,-0.023413748600282877
development-202106-0.08,development,2021-06-01T00:00:00Z,2021-07-01T00:00:00Z,2021-05-31T00:00:00Z,0.08,1.991978710386325,0.040161071794027746,0.07672,0.06826,0.5234759097240321,91,9.676839325329383e-05,-0.0001227212770598539,-0.00253965,-0.004474142318700386,-0.004474142318700383,-2.6020852139652106e-18,-0.004377373925447092,-0.0045500385132558885,-0.004550038513255886,-2.6020852139652106e-18,-0.004453270120002594,-0.004625934707811391,-0.004625934707811402,1.1275702593849246e-17,-0.0047486559848712445
development-202107-0.08,development,2021-07-01T00:00:00Z,2021-08-01T00:00:00Z,2021-06-30T00:00:00Z,0.08,1.8071911489977972,0.04426759175108018,0.06826,0.06397,0.6485143825238819,92,-0.00013567903615536932,-0.0002842240360927639,0.0032062599999999994,-0.0028335785351081347,-0.0028335785351081347,0.0,-0.002969257571263504,-0.002919333261185278,-0.0029193332611852775,-4.336808689942018e-19,-0.003055012297340647,-0.003005087987262449,-0.0030050879872624467,-2.168404344971009e-18,-0.0032893120233552127
development-202108-0.08,development,2021-08-01T00:00:00Z,2021-09-01T00:00:00Z,2021-07-31T00:00:00Z,0.08,0.9914615093375185,0.08068896194815968,0.06397,0.08888,1.2613562912014957,94,-0.0017122778340423626,-0.0025684167510635434,0.015964139999999998,0.03130470622836318,0.03130470622836317,6.938893903907228e-18,0.029592428394320816,0.031111926771484166,0.031111926771484156,1.0408340855860843e-17,0.029399648937441805,0.030919147314605128,0.03091914731460512,6.938893903907228e-18,0.028350730563541586
development-202109-0.08,development,2021-09-01T00:00:00Z,2021-10-01T00:00:00Z,2021-08-31T00:00:00Z,0.08,0.6606039132524546,0.1211013110808313,0.08888,0.08941,1.3625260022595782,89,-0.002236902645326445,-0.0035523912792746917,0.01613348,0.000576383924631857,0.0005763839246318641,-7.15573433840433e-18,-0.001660518720694588,0.00033345959697228533,0.00033345959697229466,-9.324138683375338e-18,-0.0019034430483541595,9.053526931268596e-05,9.053526931268753e-05,-1.5720931501039814e-18,-0.0034618560099620057
development-202110-0.08,development,2021-10-01T00:00:00Z,2021-11-01T00:00:00Z,2021-09-30T00:00:00Z,0.08,1.1274612269414874,0.07095587687482562,0.08941,0.10161,0.7936011282275541,93,-0.0016557616796618257,-0.002483642519492738,0.02093668,0.009590977551867746,0.009590977551867745,1.734723475976807e-18,0.007935215872205921,0.009439389673513987,0.009439389673513987,0.0,0.007783627993852162,0.009287801795160214,0.009287801795160209,5.204170427930421e-18,0.0068041592756674756
