trade_id,stage,strategy_variant,entry_time,decision_time,exit_time,symbol,category,direction,score,selection_rank,eligible_count,entry_price,exit_price,hold_days,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-scheduled_short-20240101-1000XECUSDT-SHORT,development,scheduled_short,2024-01-01T00:00:00+0000,2023-12-31T00:00:00+0000,2024-02-01T00:00:00+0000,1000XECUSDT,Payment,SHORT,0.7619382539296028,1,25,0.03728,0.02971,31,0.25,6.706008583690987,92,-0.007416817902408799,-0.01169632468601529,0.050764484978540775,0.05049494366952789,-6.938893903907228e-18,0.04307812576711909,0.0396093356692655,0.050045738613197444,-6.938893903907228e-18,0.042628920710788644,0.03916162445890192,0.04959653355686691,-2.0816681711721685e-17,0.03790020887085162,0.03444863810337573
development-scheduled_short-20240101-AAVEUSDT-SHORT,development,scheduled_short,2024-01-01T00:00:00+0000,2023-12-31T00:00:00+0000,2024-02-01T00:00:00+0000,AAVEUSDT,DeFi,SHORT,0.7861276005416529,2,25,108.77,85.82,31,0.25,0.002298427875333272,92,0.0017587797644677203,0.0005616532166371857,0.052748919738898614,0.052480569090741946,6.938893903907228e-18,0.05423934885520967,0.05073344174840777,0.052033349659832695,-6.938893903907228e-18,0.053792129424300415,0.050287709560203675,0.051586130228923444,1.3877787807814457e-17,0.052147783445560626,0.04864883190728486
development-scheduled_short-20240101-AVAXUSDT-SHORT,development,scheduled_short,2024-01-01T00:00:00+0000,2023-12-31T00:00:00+0000,2024-02-01T00:00:00+0000,AVAXUSDT,Layer-1,SHORT,1.0405423618319418,3,25,38.59,33.173,31,0.25,0.006478362270018139,92,0.0027885330472303504,0.0013942665236151752,0.03509328841668827,0.034814344389738267,-1.3877787807814457e-17,0.037602877436968614,0.034152295454808135,0.034349458734128036,0.0,0.03713799178135838,0.03368895579150566,0.03388457307851775,6.938893903907228e-18,0.035278839602132926,0.03183598628307949
development-scheduled_short-20240101-BCHUSDT-SHORT,development,scheduled_short,2024-01-01T00:00:00+0000,2023-12-31T00:00:00+0000,2024-02-01T00:00:00+0000,BCHUSDT,Payment,SHORT,0.5946170662594015,4,25,259.79,234.16,31,0.25,0.0009623157165402824,92,0.0003717615363571057,-0.0006651028125958234,0.024664151814927454,0.02437895030601639,-2.7755575615628914e-17,0.024750711842373496,0.021342870153244986,0.023903629256322445,-3.469446951953614e-18,0.02427539079267955,0.02086912979909994,0.023428308206628418,-1.3877787807814457e-17,0.022763205394032593,0.01936197322198341
development-scheduled_short-20240101-BNBUSDT-SHORT,development,scheduled_short,2024-01-01T00:00:00+0000,2023-12-31T00:00:00+0000,2024-02-01T00:00:00+0000,BNBUSDT,Layer-1,SHORT,0.5104834111711352,5,25,311.33,300.53,31,0.25,0.0008030064561719076,92,-0.005215927948860005,-0.00795114175397575,0.008672469726656612,0.008377673208492586,-1.9081958235744878e-17,0.0031617452596325816,-0.00017430162174836283,0.007886350881701115,0.0,0.0026704229328411103,-0.0006639900402256593,0.007395028554909561,-1.9081958235744878e-17,-0.0005561131990661893,-0.003879796221702425
development-scheduled_short-20240101-CRVUSDT-SHORT,development,scheduled_short,2024-01-01T00:00:00+0000,2023-12-31T00:00:00+0000,2024-02-01T00:00:00+0000,CRVUSDT,DeFi,SHORT,0.7786531545350854,6,25,0.605,0.455,31,0.25,0.4132231404958678,92,0.0023617228305493807,0.0011470306014894423,0.06198347107438015,0.061720661157024764,-2.0816681711721685e-17,0.06408238398757414,0.060543743548573614,0.06128268181818183,-1.3877787807814457e-17,0.06364440464873121,0.060107220724210375,0.06084470247933879,-1.3877787807814457e-17,0.06199173308082823,0.058460045169144825
development-scheduled_short-20240101-DASHUSDT-SHORT,development,scheduled_short,2024-01-01T00:00:00+0000,2023-12-31T00:00:00+0000,2024-02-01T00:00:00+0000,DASHUSDT,PoW,SHORT,0.5916629471722359,7,25,31.76,26.64,31,0.25,0.007871536523929471,92,0.00235405907644893,0.001147298344899528,0.040302267002518904,0.040026448362720374,-3.469446951953614e-17,0.0423805074391693,0.038914037293664716,0.03956677481108317,6.938893903907228e-18,0.0419208338875321,0.03845589240131475,0.03910710125944583,-6.938893903907228e-18,0.04025439960434536,0.03679499989932111
development-scheduled_short-20240101-ENSUSDT-SHORT,development,scheduled_short,2024-01-01T00:00:00+0000,2023-12-31T00:00:00+0000,2024-02-01T00:00:00+0000,ENSUSDT,Infrastructure,SHORT,0.6699333950662518,8,25,9.684,17.819,31,0.25,0.025815778603882695,92,0.0048122410673503155,0.0023585152182063434,-0.2100113589425857,-0.21043736575795127,0.0,-0.20562512469060096,-0.2082668440722919,-0.2111475031237092,2.7755575615628914e-17,-0.20633526205635888,-0.20897461985323507,-0.21185764048946717,-5.551115123125783e-17,-0.20949912527126083,-0.2121279615385222
development-scheduled_short-20240101-ETCUSDT-SHORT,development,scheduled_short,2024-01-01T00:00:00+0000,2023-12-31T00:00:00+0000,2024-02-01T00:00:00+0000,ETCUSDT,PoW,SHORT,0.5816978139505673,9,25,21.95,24.333,31,0.25,0.011389521640091117,92,0.003180159019337632,0.0015880789079234367,-0.02714123006833713,-0.02745751480637812,6.938893903907228e-18,-0.02427735578704049,-0.02752215304899841,-0.02798467232118454,-4.85722573273506e-17,-0.02480451330184691,-0.02804755748441201,-0.028511829835990904,-6.938893903907228e-18,-0.026923750928067466,-0.0301597475172537
development-scheduled_short-20240101-HBARUSDT-SHORT,development,scheduled_short,2024-01-01T00:00:00+0000,2023-12-31T00:00:00+0000,2024-02-01T00:00:00+0000,HBARUSDT,Layer-1,SHORT,0.6092782620471305,10,25,0.08599,0.06949,31,0.25,2.9073148040469823,92,0.002211666815665194,0.0009945638452139784,0.04797069426677522,0.04769947668333527,-6.938893903907228e-18,0.049911143499000464,0.04641962997932336,0.04724747616001865,0.0,0.049459142975683844,0.04596913259838953,0.046795475636701944,0.0,0.04779003948191592,0.04430557976236105
