trade_id,stage,strategy_variant,entry_time,decision_time,exit_time,symbol,category,direction,score,selection_rank,eligible_count,entry_price,exit_price,hold_days,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
evaluation-main-20250101-BNBUSDT-LONG,evaluation,main,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,BNBUSDT,Layer-1,LONG,0.5219450145197776,1,25,702.13,677.79,31,0.25,0.00035605941919587543,93,0.000641254159588161,2.3873693327727634e-05,-0.008666486263227607,-0.008961286371469646,3.8163916471489756e-17,-0.008320032211881484,-0.011617896070327705,-0.00945262508509817,-8.673617379884035e-18,-0.00881137092551001,-0.012107600821147035,-0.009943963798726724,3.8163916471489756e-17,-0.009920090105398996,-0.013212632919486267
evaluation-main-20250101-SOLUSDT-LONG,evaluation,main,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,SOLUSDT,Layer-1,LONG,0.7335853884436355,2,25,189.22,231.6,31,0.25,0.001321213402388754,93,-0.0004009748585308003,-0.0013493200982862483,0.05599302399323536,0.05565942817883951,6.245004513516506e-17,0.05525845332030871,0.05174915714859418,0.05510346875066069,3.469446951953614e-17,0.05470249389212989,0.05119504658150409,0.05454750932248176,6.938893903907228e-18,0.05319818922419551,0.04969574452747505
evaluation-main-20250101-XMRUSDT-LONG,evaluation,main,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,XMRUSDT,PoW,LONG,0.8251689907568415,3,25,193.76,238.6,31,0.25,0.0012902559867877788,93,-0.0016116492745662165,-0.00370407156215127,0.05785507844756399,0.05752036540049549,2.0816681711721685e-17,0.05590871612592927,0.05239725748418933,0.05696254503509496,-6.938893903907228e-17,0.05535089576052874,0.05184129216848454,0.056404724669694484,1.3877787807814457e-17,0.05270065310754321,0.04919986298329637
evaluation-main-20250101-HBARUSDT-SHORT,evaluation,main,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,HBARUSDT,Layer-1,SHORT,1.8060272984437082,1,25,0.26882,0.30644,31,0.25,0.9299903281005878,93,0.0017462475887274015,0.0005809519671504167,-0.03498623614314411,-0.03530722788483001,-2.7755575615628914e-17,-0.03356098029610261,-0.03677490456401189,-0.03584223511271481,-2.7755575615628914e-17,-0.03409598752398741,-0.03730813260802868,-0.036377242340599664,-2.0816681711721685e-17,-0.035796290373449245,-0.0390027810452831
evaluation-main-20250101-XLMUSDT-SHORT,evaluation,main,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,XLMUSDT,Layer-2,SHORT,1.6354997646355873,2,25,0.33255,0.41403,31,0.25,0.7517666516313336,93,0.0012870919470894602,-3.707815032829655e-05,-0.061253946774921075,-0.061590699142986066,-5.551115123125783e-17,-0.06030360719589661,-0.06342859799172051,-0.06215198984212897,-1.3877787807814457e-17,-0.06086489789503951,-0.0639880221004604,-0.06271328054127195,1.3877787807814457e-17,-0.06275035869160026,-0.06586721273606255
evaluation-main-20250101-TRXUSDT-SHORT,evaluation,main,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,TRXUSDT,Layer-1,SHORT,1.6027470001919342,3,25,0.25456,0.25361,31,0.25,0.9820867379006913,93,0.0012994439926342512,0.00020839685924187818,0.000932982401005672,0.0006335421904462568,-9.75781955236954e-18,0.001932986183080508,-0.0013989744201855503,0.00013447573263672408,-1.3796472644878044e-17,0.0014339197252709753,-0.001896381216322296,-0.0003645907251727809,9.920449878242366e-18,-0.00015619386593090272,-0.003481206833264916
evaluation-main-20250301-BNBUSDT-LONG,evaluation,main,2025-03-01T00:00:00+0000,2025-02-28T00:00:00+0000,2025-04-01T00:00:00+0000,BNBUSDT,Layer-1,LONG,0.5824969556707265,1,21,587.83,604.62,31,0.25,0.000425293026895531,92,0.0026131864612781385,0.0013065932306390692,0.007140669921575971,0.006836385519623012,7.806255641895632e-18,0.00944957198090115,0.006092614728063772,0.006329249134103376,-4.9439619065339e-17,0.008942435595381515,0.005587164841023062,0.005822112748583741,-1.0408340855860843e-17,0.00712870597922281,0.0037794668414588006
evaluation-main-20250301-BCHUSDT-LONG,evaluation,main,2025-03-01T00:00:00+0000,2025-02-28T00:00:00+0000,2025-04-01T00:00:00+0000,BCHUSDT,Payment,LONG,0.7933650361710909,2,21,315.57,303.28,31,0.25,0.000792217257660741,92,0.00017528195186224346,-0.000817506658138266,-0.009736350096650526,-0.010030508286592493,3.9898639947466563e-17,-0.00985522633473025,-0.01314798485538815,-0.010520777778305901,0.0,-0.010345495826443658,-0.013636623940024517,-0.011011047270019392,-2.949029909160572e-17,-0.011828553928157657,-0.015114750083977446
evaluation-main-20250301-XMRUSDT-LONG,evaluation,main,2025-03-01T00:00:00+0000,2025-02-28T00:00:00+0000,2025-04-01T00:00:00+0000,XMRUSDT,PoW,LONG,0.8824304450321759,3,21,217.9,214.97,31,0.25,0.0011473152822395593,92,-0.004905696265935928,-0.0075012079580286245,-0.0033616337769619142,-0.0036596167966957416,-2.6020852139652106e-18,-0.008565313062631669,-0.011862361231662732,-0.004156257179899037,-1.5612511283791264e-17,-0.009061953445834964,-0.012357350021182989,-0.0046528975631023595,-2.5153490401663703e-17,-0.012154105521130984,-0.015439219044582009
evaluation-main-20250301-RUNEUSDT-SHORT,evaluation,main,2025-03-01T00:00:00+0000,2025-02-28T00:00:00+0000,2025-04-01T00:00:00+0000,RUNEUSDT,DeFi,SHORT,2.0264970412161603,1,21,1.29,1.139,31,0.25,0.19379844961240308,92,-0.0006851769140845349,-0.00235296096954248,0.02926356589147286,0.02898112403100772,-3.122502256758253e-17,0.028295947116923185,0.024876315633040935,0.028510405155038776,-2.7755575615628914e-17,0.02782522824095424,0.02440716214794314,0.028039686279069748,-1.734723475976807e-17,0.02568672530952727,0.02227577087729138
evaluation-main-20250301-TRXUSDT-SHORT,evaluation,main,2025-03-01T00:00:00+0000,2025-02-28T00:00:00+0000,2025-04-01T00:00:00+0000,TRXUSDT,Layer-1,SHORT,1.624738541821761,2,21,0.23324,0.23868,31,0.25,1.071857314354313,92,-0.0017356897157366875,-0.0035575654521026088,-0.005830903790087438,-0.006134402332361483,3.2959746043559335e-17,-0.00787009204809817,-0.011169452197134833,-0.0066402367346938,3.382710778154774e-17,-0.008375926450430487,-0.011673604430775697,-0.007146071137026283,-4.2500725161431774e-17,-0.010703636589128892,-0.013993573694001449
evaluation-main-20250301-HBARUSDT-SHORT,evaluation,main,2025-03-01T00:00:00+0000,2025-02-28T00:00:00+0000,2025-04-01T00:00:00+0000,HBARUSDT,Layer-1,SHORT,1.448870951471919,3,21,0.21348,0.16305,31,0.25,1.1710698894510023,92,-0.0004320365605764006,-0.0013966923118105912,0.05905705452501406,0.05879248875772902,-4.163336342344337e-17,0.05836045219715262,0.05484084022768343,0.05835158124648682,-1.3877787807814457e-17,0.057919544685910415,0.05440139896865315,0.05791067373524453,1.3877787807814457e-17,0.05651398142343394,0.0530005099523394
evaluation-main-20250401-CRVUSDT-SHORT,evaluation,main,2025-04-01T00:00:00+0000,2025-03-31T00:00:00+0000,2025-05-01T00:00:00+0000,CRVUSDT,DeFi,SHORT,1.2916281551690127,2,21,0.502,0.713,30,0.25,0.49800796812749004,89,-6.536097755597609e-05,-0.0015569582596141433,-0.10507968127490036,-0.10544272908366534,-1.3877787807814457e-17,-0.10550809006122132,-0.1083869496357166,-0.10604787181274897,1.3877787807814457e-17,-0.10611323279030495,-0.10899014475530233,-0.10665301454183271,-4.163336342344337e-17,-0.10820997280144685,-0.1110801365555446
evaluation-main-20250401-XRPUSDT-SHORT,evaluation,main,2025-04-01T00:00:00+0000,2025-03-31T00:00:00+0000,2025-05-01T00:00:00+0000,XRPUSDT,Payment,SHORT,1.1549740318931039,3,21,2.0888,2.1897,30,0.25,0.11968594408272692,89,-0.00014852923287964376,-0.0010596370984098764,-0.012076311757947156,-0.01238355754500195,-8.673617379884035e-18,-0.012532086777881594,-0.015710183108211706,-0.012895641102546956,-3.122502256758253e-17,-0.0130441703354266,-0.016220618560685796,-0.01340772466009199,-2.949029909160572e-17,-0.014467361758501867,-0.017639229541826174
evaluation-main-20250501-TRXUSDT-LONG,evaluation,main,2025-05-01T00:00:00+0000,2025-04-30T00:00:00+0000,2025-06-01T00:00:00+0000,TRXUSDT,Layer-1,LONG,0.4810344902660073,1,21,0.24639,0.26545,31,0.25,1.014651568651325,92,-0.001308433378332116,-0.00238546579179502,0.019339258898494305,0.019027655343155148,-3.122502256758253e-17,0.01771922196482303,0.014334763723068189,0.01850832768781202,-1.734723475976807e-17,0.017199894309479904,0.013817163108666541,0.017989000032468838,-3.469446951953614e-17,0.015603534240673818,0.012226111786983296
evaluation-main-20250501-BNBUSDT-LONG,evaluation,main,2025-05-01T00:00:00+0000,2025-04-30T00:00:00+0000,2025-06-01T00:00:00+0000,BNBUSDT,Layer-1,LONG,0.5467892652097232,2,21,599.21,657.92,31,0.25,0.0004172160010680729,92,0.0003731902627095576,0.00014624649834532418,0.024494751422706518,0.024180054571852905,0.0,0.024553244834562463,0.021146059828365482,0.023655574517281064,-3.469446951953614e-18,0.024028764779990622,0.02062332394920552,0.023131094462709167,-1.734723475976807e-17,0.02327734096105449,0.019874399014521815
evaluation-main-20250501-XMRUSDT-LONG,evaluation,main,2025-05-01T00:00:00+0000,2025-04-30T00:00:00+0000,2025-06-01T00:00:00+0000,XMRUSDT,PoW,LONG,0.5537954580370609,3,21,278.06,325.31,31,0.25,0.0008990865280874631,92,-0.005905318382805795,-0.010164204659859493,0.04248183845213266,0.04215634934906132,-3.469446951953614e-17,0.036251030966255524,0.032804944593326724,0.0416138929997123,-6.938893903907228e-18,0.035708574616906505,0.032264292200140376,0.041071436650363224,2.0816681711721685e-17,0.03090723199050373,0.027478916594181557
evaluation-main-20250501-RUNEUSDT-SHORT,evaluation,main,2025-05-01T00:00:00+0000,2025-04-30T00:00:00+0000,2025-06-01T00:00:00+0000,RUNEUSDT,DeFi,SHORT,1.7003977328373534,1,21,1.334,1.659,31,0.25,0.1874062968515742,92,0.0018835124634649174,0.0006293012955866191,-0.060907046476761595,-0.06124359070464766,0.0,-0.059360078241182744,-0.06248820677311129,-0.06180453429535229,-1.3877787807814457e-17,-0.059921021831887376,-0.06304728492773326,-0.06236547788605695,-2.0816681711721685e-17,-0.061736176590470336,-0.06485640333036446
evaluation-main-20250501-AAVEUSDT-SHORT,evaluation,main,2025-05-01T00:00:00+0000,2025-04-30T00:00:00+0000,2025-06-01T00:00:00+0000,AAVEUSDT,DeFi,SHORT,1.1580289716338654,3,21,164.1,246.93,31,0.25,0.0015234613040828763,92,0.0019488129168275068,0.00085424423460898,-0.12618829981718466,-0.126564012797075,0.0,-0.12461519988024748,-0.12752632039121947,-0.12719027680987197,2.7755575615628914e-17,-0.12524146389304447,-0.128150501742754,-0.1278165408226692,-2.7755575615628914e-17,-0.12696229658806021,-0.12986561175289602
evaluation-main-20250601-CRVUSDT-SHORT,evaluation,main,2025-06-01T00:00:00+0000,2025-05-31T00:00:00+0000,2025-07-01T00:00:00+0000,CRVUSDT,DeFi,SHORT,1.1735907226988869,1,20,0.664,0.523,30,0.25,0.3765060240963855,90,0.0005428915042347139,-0.0003934718922229667,0.053087349397590355,0.05281920180722893,1.3877787807814457e-17,0.053362093311463646,0.04997192117681837,0.05237232100903616,-6.938893903907228e-18,0.05291521251327087,0.04952647863318127,0.05192544021084339,6.938893903907228e-18,0.05153196831862042,0.048147686313108284
evaluation-main-20250601-NEARUSDT-SHORT,evaluation,main,2025-06-01T00:00:00+0000,2025-05-31T00:00:00+0000,2025-07-01T00:00:00+0000,NEARUSDT,Layer-1,SHORT,1.1011428578999534,3,20,2.418,2.147,30,0.25,0.10339123242349048,90,0.0006604591883830646,-0.0001870340178431038,0.02801902398676595,0.02773583540115801,-6.938893903907228e-18,0.028396294589541075,0.02508647312982859,0.027263871236559184,3.469446951953614e-18,0.02792433042494225,0.024616027948843877,0.026791907071960358,1.0408340855860843e-17,0.026604873054117253,0.02330081715917065
evaluation-main-20250801-TRXUSDT-LONG,evaluation,main,2025-08-01T00:00:00+0000,2025-07-31T00:00:00+0000,2025-09-01T00:00:00+0000,TRXUSDT,Layer-1,LONG,0.31603199335898013,1,20,0.32478,0.34076,31,0.25,0.7697518320093601,93,-0.001395117302549803,-0.002350827861215862,0.012300634275509592,0.011993253894944322,5.724587470723463e-17,0.01059813659239452,0.007237359750734029,0.011480960641049365,1.734723475976807e-17,0.010085843338499562,0.006726770144650507,0.010968667387154407,1.9081958235744878e-17,0.008617839525938545,0.005263648226324413
evaluation-main-20250801-BNBUSDT-LONG,evaluation,main,2025-08-01T00:00:00+0000,2025-07-31T00:00:00+0000,2025-09-01T00:00:00+0000,BNBUSDT,Layer-1,LONG,0.35310782897689486,2,20,783.67,858.09,31,0.25,0.0003190118289586178,93,-0.0007375480670932093,-0.001106322100639814,0.023740860311100342,0.023426615794913674,-2.42861286636753e-17,0.022689067727820464,0.01928808210298194,0.022902889179118813,-1.3877787807814457e-17,0.022165341112025602,0.01876609715701405,0.022379162563323896,6.938893903907228e-18,0.02127284046268408,0.017876564547494755
evaluation-main-20250801-XMRUSDT-LONG,evaluation,main,2025-08-01T00:00:00+0000,2025-07-31T00:00:00+0000,2025-09-01T00:00:00+0000,XMRUSDT,PoW,LONG,0.5754007906477312,3,20,306.28,261.99,31,0.25,0.0008162465717643987,93,-0.005678640140879422,-0.008578656128123372,-0.03615156066344519,-0.03642986972704709,2.7755575615628914e-17,-0.04210850986792652,-0.04529400904934655,-0.03689373985732006,6.938893903907228e-18,-0.04257237999819948,-0.0457563365644742,-0.03735760998759299,6.938893903907228e-18,-0.045936266115716363,-0.049109035969733816
evaluation-main-20250801-UNIUSDT-SHORT,evaluation,main,2025-08-01T00:00:00+0000,2025-07-31T00:00:00+0000,2025-09-01T00:00:00+0000,UNIUSDT,DeFi,SHORT,1.171683531520495,1,20,9.339,9.614,31,0.25,0.026769461398436663,93,0.002251603319636273,0.0011188740124357965,-0.007361601884570079,-0.007666018845700812,2.2551405187698492e-17,-0.005414415526064538,-0.008721942106927227,-0.008173384864546523,5.204170427930421e-18,-0.00592178154491025,-0.00922762086364104,-0.008680750883392208,1.734723475976807e-17,-0.0075618768709564115,-0.010862261999549427
evaluation-main-20250801-CRVUSDT-SHORT,evaluation,main,2025-08-01T00:00:00+0000,2025-07-31T00:00:00+0000,2025-09-01T00:00:00+0000,CRVUSDT,DeFi,SHORT,1.000529377310959,2,20,0.937,0.756,31,0.25,0.26680896478121663,93,0.0017516455048246,0.0007774834024053629,0.04829242262540023,0.04802139807897546,-1.3877787807814457e-17,0.04977304358380006,0.04628198931986449,0.04756971947705449,6.938893903907228e-18,0.04932136498187909,0.04583181278976656,0.04711804087513338,-2.7755575615628914e-17,0.047895524277538744,0.044410713764878595
evaluation-main-20250801-NEARUSDT-SHORT,evaluation,main,2025-08-01T00:00:00+0000,2025-07-31T00:00:00+0000,2025-09-01T00:00:00+0000,NEARUSDT,Layer-1,SHORT,0.9510375167890273,3,20,2.534,2.365,31,0.25,0.09865824782951856,93,0.0007729551738956198,-0.00031860579992410223,0.016673243883188582,0.01638324782951847,-3.8163916471489756e-17,0.01715620300341409,0.013773617099454238,0.01589993107734808,3.469446951953614e-18,0.016672886251243697,0.013291907632800415,0.015416614325177547,-1.734723475976807e-18,0.015098008525253444,0.011722267213706283
evaluation-main-20250901-KAVAUSDT-LONG,evaluation,main,2025-09-01T00:00:00+0000,2025-08-31T00:00:00+0000,2025-10-01T00:00:00+0000,KAVAUSDT,DeFi,LONG,0.461315895810805,3,21,0.3755,0.3178,30,0.25,0.6657789613848203,89,-0.0020147092873717713,-0.003022063931057657,-0.038415446071904114,-0.038692396804260926,4.163336342344337e-17,-0.040707106091632694,-0.043794523095283755,-0.03915400440745673,-4.85722573273506e-17,-0.041168713694828496,-0.044254645046733154,-0.03961561201065242,4.163336342344337e-17,-0.04263767594171008,-0.04571887954148868
evaluation-main-20250901-HBARUSDT-SHORT,evaluation,main,2025-09-01T00:00:00+0000,2025-08-31T00:00:00+0000,2025-10-01T00:00:00+0000,HBARUSDT,Layer-1,SHORT,0.9636258849843964,3,21,0.21888,0.21499,30,0.25,1.1421783625730995,89,0.0015040554659584019,0.0006075493190931676,0.004443073830409372,0.004145739674707605,-3.469446951953614e-18,0.005649795140666007,0.0024131816965846653,0.0036501854143823342,-9.974659986866641e-18,0.005154240880340736,0.0019192223429445043,0.003154631154057036,1.951563910473908e-17,0.0037621804731502034,0.0005316421846941477
