trade_id,stage,strategy_variant,entry_time,decision_time,exit_time,symbol,category,direction,score,selection_rank,eligible_count,entry_price,exit_price,hold_days,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
evaluation-rv60-20250101-BNBUSDT-LONG,evaluation,rv60,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,BNBUSDT,Layer-1,LONG,0.6008424921729906,1,25,702.13,677.79,31,0.25,0.00035605941919587543,93,0.000641254159588161,2.3873693327727634e-05,-0.008666486263227607,-0.008961286371469646,3.8163916471489756e-17,-0.008320032211881484,-0.011617896070327705,-0.00945262508509817,-8.673617379884035e-18,-0.00881137092551001,-0.012107600821147035,-0.009943963798726724,3.8163916471489756e-17,-0.009920090105398996,-0.013212632919486267
evaluation-rv60-20250101-SOLUSDT-LONG,evaluation,rv60,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,SOLUSDT,Layer-1,LONG,0.8030877086976151,2,25,189.22,231.6,31,0.25,0.001321213402388754,93,-0.0004009748585308003,-0.0013493200982862483,0.05599302399323536,0.05565942817883951,6.245004513516506e-17,0.05525845332030871,0.05174915714859418,0.05510346875066069,3.469446951953614e-17,0.05470249389212989,0.05119504658150409,0.05454750932248176,6.938893903907228e-18,0.05319818922419551,0.04969574452747505
evaluation-rv60-20250101-BCHUSDT-LONG,evaluation,rv60,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,BCHUSDT,Payment,LONG,0.9087616300899606,3,25,434.35,424.11,31,0.25,0.0005755726948313572,93,-0.0019889485442003397,-0.003062939477721595,-0.005893864395073112,-0.006190328076436047,1.1275702593849246e-17,-0.008179276620636387,-0.011477608566361042,-0.006684437748359612,-3.382710778154774e-17,-0.008673386292559952,-0.011970075060563912,-0.0071785474202832045,-8.673617379884035e-18,-0.0102414868980048,-0.013532960896646462
evaluation-rv60-20250101-HBARUSDT-SHORT,evaluation,rv60,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,HBARUSDT,Layer-1,SHORT,2.1407108030956383,1,25,0.26882,0.30644,31,0.25,0.9299903281005878,93,0.0017462475887274015,0.0005809519671504167,-0.03498623614314411,-0.03530722788483001,-2.7755575615628914e-17,-0.03356098029610261,-0.03677490456401189,-0.03584223511271481,-2.7755575615628914e-17,-0.03409598752398741,-0.03730813260802868,-0.036377242340599664,-2.0816681711721685e-17,-0.035796290373449245,-0.0390027810452831
evaluation-rv60-20250101-XLMUSDT-SHORT,evaluation,rv60,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,XLMUSDT,Layer-2,SHORT,1.9843243761870266,2,25,0.33255,0.41403,31,0.25,0.7517666516313336,93,0.0012870919470894602,-3.707815032829655e-05,-0.061253946774921075,-0.061590699142986066,-5.551115123125783e-17,-0.06030360719589661,-0.06342859799172051,-0.06215198984212897,-1.3877787807814457e-17,-0.06086489789503951,-0.0639880221004604,-0.06271328054127195,1.3877787807814457e-17,-0.06275035869160026,-0.06586721273606255
evaluation-rv60-20250101-TRXUSDT-SHORT,evaluation,rv60,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,TRXUSDT,Layer-1,SHORT,1.960787165412907,3,25,0.25456,0.25361,31,0.25,0.9820867379006913,93,0.0012994439926342512,0.00020839685924187818,0.000932982401005672,0.0006335421904462568,-9.75781955236954e-18,0.001932986183080508,-0.0013989744201855503,0.00013447573263672408,-1.3796472644878044e-17,0.0014339197252709753,-0.001896381216322296,-0.0003645907251727809,9.920449878242366e-18,-0.00015619386593090272,-0.003481206833264916
evaluation-rv60-20250201-RUNEUSDT-SHORT,evaluation,rv60,2025-02-01T00:00:00+0000,2025-01-31T00:00:00+0000,2025-03-01T00:00:00+0000,RUNEUSDT,DeFi,SHORT,1.7039918345485945,2,24,2.123,1.29,28,0.25,0.11775788977861515,83,-0.00037255116008748227,-0.0012497605343124057,0.09809232218558644,0.09785117757889777,-2.7755575615628914e-17,0.09747862641881029,0.0941815914421924,0.09744932875647672,1.3877787807814457e-17,0.09707677759638923,0.09378094985022734,0.09704747993405557,1.3877787807814457e-17,0.09579771939974317,0.09250573418819652
evaluation-rv60-20250201-CRVUSDT-SHORT,evaluation,rv60,2025-02-01T00:00:00+0000,2025-01-31T00:00:00+0000,2025-03-01T00:00:00+0000,CRVUSDT,DeFi,SHORT,1.5177657265008775,3,24,0.781,0.449,28,0.25,0.3201024327784891,83,-0.00022905401070979508,-0.0008660415000945901,0.1062740076824584,0.10603777208706786,-1.3877787807814457e-17,0.10580871807635805,0.10248665791665923,0.1056441098591549,-2.7755575615628914e-17,0.1054150558484451,0.10209417832511214,0.105250447631242,0.0,0.10438440613114741,0.10106662487601037
evaluation-rv60-20250301-BNBUSDT-LONG,evaluation,rv60,2025-03-01T00:00:00+0000,2025-02-28T00:00:00+0000,2025-04-01T00:00:00+0000,BNBUSDT,Layer-1,LONG,0.5098087629921864,1,21,587.83,604.62,31,0.25,0.000425293026895531,92,0.0026131864612781385,0.0013065932306390692,0.007140669921575971,0.006836385519623012,7.806255641895632e-18,0.00944957198090115,0.006092614728063772,0.006329249134103376,-4.9439619065339e-17,0.008942435595381515,0.005587164841023062,0.005822112748583741,-1.0408340855860843e-17,0.00712870597922281,0.0037794668414588006
evaluation-rv60-20250301-TRXUSDT-LONG,evaluation,rv60,2025-03-01T00:00:00+0000,2025-02-28T00:00:00+0000,2025-04-01T00:00:00+0000,TRXUSDT,Layer-1,LONG,0.5806624906444136,2,21,0.23324,0.23868,31,0.25,1.071857314354313,92,0.0017356897157366875,-8.618602062923395e-05,0.005830903790087438,0.005527405247813422,1.0408340855860843e-17,0.007263094963550109,0.003913408910865224,0.005021577842565628,-1.3877787807814457e-17,0.006757267558302315,0.0034092636510398844,0.004515750437317778,-5.204170427930421e-18,0.004429564416688544,0.0010893013616295466
