trade_id,stage,strategy_variant,entry_time,decision_time,exit_time,symbol,category,direction,score,selection_rank,eligible_count,entry_price,exit_price,hold_days,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
evaluation-scheduled_long-20250101-1000XECUSDT-LONG,evaluation,scheduled_long,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,1000XECUSDT,Payment,LONG,0.923459223898187,1,25,0.03324,0.03236,31,0.25,7.521058965102287,93,-0.0020501213503437126,-0.003372899698404408,-0.006618531889290014,-0.006914560770156397,3.2959746043559335e-17,-0.00896468212050011,-0.01226040217479163,-0.007407946209386257,8.673617379884035e-18,-0.00945806755972997,-0.012752146844760115,-0.007901331648616089,1.214306433183765e-17,-0.011274231347020497,-0.014562270920541298
evaluation-scheduled_long-20250101-AAVEUSDT-LONG,evaluation,scheduled_long,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,AAVEUSDT,DeFi,LONG,1.200860874176387,2,25,308.73,332.6,31,0.25,0.0008097690538658375,93,-0.0019920553931237657,-0.003047267341394398,0.01932918731577754,0.01901758980338808,3.469446951953614e-18,0.017025534410264314,0.013643383048944191,0.018498272213584743,4.163336342344337e-17,0.016506216820460978,0.013125792466609054,0.017978954623781296,1.0408340855860843e-17,0.014931687282386898,0.011556499077520765
evaluation-scheduled_long-20250101-AVAXUSDT-LONG,evaluation,scheduled_long,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,AVAXUSDT,Layer-1,LONG,1.0355736613997937,3,25,35.689,34.422,31,0.25,0.0070049595113340244,93,-0.0018903259771402001,-0.0029518959067282723,-0.008875283700860243,-0.009169958530639705,1.0408340855860843e-17,-0.011060284507779905,-0.014349035568445245,-0.009661088572109039,1.5612511283791264e-17,-0.01155141454924924,-0.014838532341051591,-0.010152218613578401,4.5102810375396984e-17,-0.013104114520306673,-0.016386068758055372
evaluation-scheduled_long-20250101-BCHUSDT-LONG,evaluation,scheduled_long,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,BCHUSDT,Payment,LONG,0.8445742106728424,4,25,434.35,424.11,31,0.25,0.0005755726948313572,93,-0.0019889485442003397,-0.003062939477721595,-0.005893864395073112,-0.006190328076436047,1.1275702593849246e-17,-0.008179276620636387,-0.011477608566361042,-0.006684437748359612,-3.382710778154774e-17,-0.008673386292559952,-0.011970075060563912,-0.0071785474202832045,-8.673617379884035e-18,-0.0102414868980048,-0.013532960896646462
evaluation-scheduled_long-20250101-BNBUSDT-LONG,evaluation,scheduled_long,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,BNBUSDT,Layer-1,LONG,0.5219450145197776,5,25,702.13,677.79,31,0.25,0.00035605941919587543,93,0.000641254159588161,2.3873693327727634e-05,-0.008666486263227607,-0.008961286371469646,3.8163916471489756e-17,-0.008320032211881484,-0.011617896070327705,-0.00945262508509817,-8.673617379884035e-18,-0.00881137092551001,-0.012107600821147035,-0.009943963798726724,3.8163916471489756e-17,-0.009920090105398996,-0.013212632919486267
evaluation-scheduled_long-20250101-CRVUSDT-LONG,evaluation,scheduled_long,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,CRVUSDT,DeFi,LONG,1.3752467722739656,6,25,0.894,0.781,31,0.25,0.2796420581655481,93,-0.0018552802889317674,-0.002971015335668569,-0.03159955257270694,-0.03188059284116326,4.163336342344337e-17,-0.03373587313009503,-0.036949215786219125,-0.03234901224832215,-6.938893903907228e-18,-0.03420429253725392,-0.03741607744946496,-0.032817431655480955,1.3877787807814457e-17,-0.035788446991149525,-0.03899496374640543
evaluation-scheduled_long-20250101-DASHUSDT-LONG,evaluation,scheduled_long,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,DASHUSDT,PoW,LONG,1.1329754761244668,7,25,37.9,33.92,31,0.25,0.006596306068601583,93,-0.0023069127185817943,-0.0034603690778726923,-0.026253298153034288,-0.026537546174142446,1.3877787807814457e-17,-0.028844458892724238,-0.032074068105352516,-0.0270113086279683,-1.0408340855860843e-17,-0.029318221346550093,-0.03254625504679054,-0.027485071081794155,3.469446951953614e-18,-0.030945440159666847,-0.03416806249103044
evaluation-scheduled_long-20250101-ENSUSDT-LONG,evaluation,scheduled_long,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,ENSUSDT,Infrastructure,LONG,1.4340946339655314,8,25,32.983,34.045,31,0.25,0.00757966225025013,93,-0.001790222646851278,-0.002853520813934151,0.008049601309765675,0.007744771548979845,3.209238430557093e-17,0.005954548902128567,0.002609214461761322,0.0072367267774308686,-1.5612511283791264e-17,0.00544650413057959,0.0021028592095582166,0.006728682005881892,4.597017211338539e-17,0.003875161191947741,0.000536741822772635
evaluation-scheduled_long-20250101-ETCUSDT-LONG,evaluation,scheduled_long,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,ETCUSDT,PoW,LONG,0.9075920897823203,9,25,25.036,26.833,31,0.25,0.009985620706183095,93,-0.002186015261873866,-0.0033329335051144444,0.01794416040901098,0.017633393912765583,-3.469446951953614e-18,0.015447378650891717,0.012070475497673927,0.01711546051885282,-3.469446951953614e-17,0.014929445256978955,0.01155426450804109,0.01659752712494006,0.0,0.013264593619825614,0.0098949493889402
evaluation-scheduled_long-20250101-HBARUSDT-LONG,evaluation,scheduled_long,2025-01-01T00:00:00+0000,2024-12-31T00:00:00+0000,2025-02-01T00:00:00+0000,HBARUSDT,Layer-1,LONG,1.8060272984437082,10,25,0.26882,0.30644,31,0.25,0.9299903281005878,93,-0.0017462475887274015,-0.0029115432103043863,0.03498623614314411,0.03466524440145824,2.7755575615628914e-17,0.03291899681273084,0.029483991227321038,0.0341302791570568,1.3877787807814457e-17,0.0323840315683294,0.02895080502717029,0.0335953139126553,-6.938893903907228e-18,0.030683770702350913,0.027256198433781575
